"","Participant.id","education","Age","Sex","Ethnicity.simplified","Student.status","Employment.status","treatment","response"
"1","5484655ffdf99b07b28f22cc","high",74,"Male","White","No","Full-Time",FALSE,4
"2","54849ec4fdf99b0379939d1d","medium",32,"Female","White","No","Full-Time",FALSE,-4
"3","5513256cfdf99b1607b1f47b","high",31,"Male","White","No","Full-Time",FALSE,-10
"4","555247e6fdf99b0c18cd1d0c","high",37,"Male","White","No","Part-Time",TRUE,-7
"5","557f112bfdf99b4ea6dd08db","high",29,"Female","Asian","DATA_EXPIRED","DATA_EXPIRED",TRUE,-2
"6","558943fafdf99b5ccd435cb3","low",75,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,7
"7","55899789fdf99b7ae5007a5b","medium",39,"Male","White","No","Full-Time",TRUE,5
"8","558a327cfdf99b2d75651681","high",56,"Male","White","No","Full-Time",FALSE,10
"9","558afc18fdf99b7dfef4d84e","medium",33,"Male","Asian","No","Part-Time",FALSE,-10
"10","559d9916fdf99b1e2b2dc6b8","medium",69,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,0
"11","55a75835fdf99b26395fae40","medium",32,"Female","White","No","Full-Time",FALSE,8
"12","55abb1a5fdf99b501fab62e3","high",79,"Male","White","DATA_EXPIRED","DATA_EXPIRED",TRUE,8
"13","55af28e1fdf99b7ffd4a728b","medium",40,"Male","White","No","DATA_EXPIRED",FALSE,10
"14","55b67c31fdf99b26b999cc1e","low",41,"Female","White","No","Full-Time",FALSE,2
"15","55fb0c5377f33b0005cb1f12","medium",36,"Female","Black","No","Full-Time",TRUE,1
"16","5678620289319e0011651232","medium",32,"Female","White","No","Full-Time",FALSE,10
"17","5692e00c8d93fe000efa0459","high",41,"Male","Asian","No","Full-Time",FALSE,0
"18","56b8de29e1d0a200051517f8","medium",40,"Female","Asian","No","DATA_EXPIRED",TRUE,8
"19","56bd7bf3d4e2180005a86846","high",37,"Female","Black","No","Full-Time",FALSE,-7
"20","56d62dc6ebdf10000667411e","high",35,"Male","White","No","Full-Time",TRUE,-8
"21","570d891d42a1db000fc65b4d","medium",45,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-6
"22","570eaaaec9e604000e03397e","high",80,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,4
"23","5727aecae386b9000f4000cd","medium",39,"Female","White","No","Part-Time",TRUE,-4
"24","572b6ced3ab9df0008b9ad52","medium",30,"Female","White","No","Full-Time",FALSE,-6
"25","574cca765e5491000f3c89e0","medium",61,"Male","White","No","Full-Time",TRUE,-8
"26","57527f5f0811ad0006f37c29","medium",32,"Male","White","No","Full-Time",TRUE,-10
"27","5783abeebaec1b00016943d9","high",39,"Male","White","No","Full-Time",TRUE,-6
"28","578b5756160201000103fe40","medium",27,"Male","Other","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,5
"29","57a08ec3dcff7d0001c7ce99","high",41,"Female","White","No","DATA_EXPIRED",FALSE,-8
"30","57ac740478a38d00017cce22","low",62,"Female","White","No","Part-Time",TRUE,4
"31","5809f556b869700001d71179","high",37,"Male","White","No","Full-Time",FALSE,-7
"32","580c7b88357e890001dd139b","low",36,"Female","White","No","Full-Time",FALSE,-10
"33","5815369b94ecc900010b014e","medium",32,"Female","White","No","DATA_EXPIRED",TRUE,-7
"34","581d50e882c5aa000132ce4f","medium",36,"Male","White","No","Unemployed (and job seeking)",TRUE,8
"35","582dc3450ea3c10001c1dc52","medium",38,"Female","White","No","Full-Time",FALSE,0
"36","5859285b73f2620001c21bb8","medium",30,"Female","White","No","Full-Time",FALSE,-4
"37","588da085a2a9930001721bc8","medium",30,"Male","White","No","Unemployed (and job seeking)",TRUE,8
"38","589de7bbbb9e0f0001ac9768","low",27,"Female","White","No","Other",TRUE,-10
"39","589f84ba27c3bb00014e6ab4","low",28,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-2
"40","58a53ea734fcb30001053e08","medium",52,"Male","White","No","Full-Time",TRUE,-3
"41","58a9bada6a8d3b00017eccc2","medium",60,"Female","White","No","Full-Time",TRUE,-2
"42","58be2fc3bfc0f4000179f3c5","high",51,"Male","White","No","Unemployed (and job seeking)",TRUE,1
"43","58c38ef58158840001b5c230","medium",35,"Male","White","No","Full-Time",FALSE,6
"44","58c3c835334d5b0001d6374e","high",NA,"DATA_EXPIRED","DATA_EXPIRED","No","DATA_EXPIRED",FALSE,-7
"45","58d899d848a0550001171214","medium",41,"Female","White","No","DATA_EXPIRED",FALSE,-6
"46","58e9538908dc910001901f6b","high",59,"Female","White","No","Other",TRUE,9
"47","58f0fca0d40252000192f201","high",41,"Male","White","No","Full-Time",TRUE,0
"48","590798daec81dd0001d54797","low",59,"Female","White","No","Full-Time",TRUE,-4
"49","591e09ccf233a70001df6e8c","low",24,"Female","White","No","Unemployed (and job seeking)",TRUE,0
"50","591ed2c61c6d600001aafddd","low",31,"Female","White","Yes","Part-Time",FALSE,10
"51","5928b05e590f0b000126edb8","medium",25,"Male","Asian","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-10
"52","592f09f14217c40001a76e8e","medium",44,"Male","White","No","DATA_EXPIRED",TRUE,0
"53","593d60d9d3501e0001bc16e4","high",NA,"Male","White","No","Full-Time",TRUE,-10
"54","594a969df0ea1b0001558178","high",30,"Male","White","No","Full-Time",FALSE,8
"55","596fea64a5c32a0001584755","medium",30,"Female","White","No","Part-Time",TRUE,-8
"56","5993b6ef7be18f00018290b5","medium",35,"Female","DATA_EXPIRED","Yes","DATA_EXPIRED",FALSE,-5
"57","5999a1096b939900012da1c7","high",36,"Female","Black","No","Full-Time",FALSE,-6
"58","59a3d5439b845f0001ec1f25","medium",29,"Female","White","No","Other",FALSE,7
"59","59a86c7c766ed90001068222","high",52,"Female","White","No","Full-Time",FALSE,-8
"60","59b0106d834a170001d6061c","medium",38,"Female","White","No","DATA_EXPIRED",TRUE,-2
"61","59b39c4ac05bb50001eb3b7f","medium",27,"Female","White","No","DATA_EXPIRED",FALSE,-6
