Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6387e989c909e881a5264a0c,58e9538908dc910001901f6b,APPROVED,2022-11-30T23:38:53.517000Z,2022-11-30T23:40:37.360000Z,2022-11-30T23:40:37.954000,2022-11-30T23:40:37.861248Z,104,C109FFJY,3937,Graduate degree (MA/MSc/MPhil/other),59,Female,White,United States,United States,United States,English,No,Other
6387ea65a8802e10521c9ffd,60144cac1e8f203e861fc5f6,APPROVED,2022-11-30T23:42:32.949000Z,2022-11-30T23:42:56.970000Z,2022-11-30T23:42:57.464000,2022-11-30T23:42:57.387062Z,25,C109FFJY,2384,Graduate degree (MA/MSc/MPhil/other),30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6387eaf6fefeff3fbddb620e,5f710cf8423f15749e53499b,APPROVED,2022-11-30T23:44:56.658000Z,2022-11-30T23:45:30.607000Z,2022-11-30T23:45:31.055000,2022-11-30T23:45:30.998478Z,34,C109FFJY,1753,Graduate degree (MA/MSc/MPhil/other),30,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
6387ee9b51bc7a5055b6bb3b,557f112bfdf99b4ea6dd08db,APPROVED,2022-12-01T00:00:30.488000Z,2022-12-01T00:01:27.121000Z,2022-12-01T00:02:28.802000Z,2022-12-01T00:03:46.771379Z,57,C109FFJY,1631,Doctorate degree (PhD/other),29,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6387eeba931de176ffab8207,6383d7db996c410171a65864,APPROVED,2022-12-01T00:01:03.142000Z,2022-12-01T00:02:03.255000Z,2022-12-01T00:03:24.885000Z,2022-12-01T00:04:18.162851Z,61,C109FFJY,1,Graduate degree (MA/MSc/MPhil/other),61,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6387eeca97b6965642255fce,62b0e0655f1d85cae65b6d28,APPROVED,2022-12-01T00:01:17.864000Z,2022-12-01T00:01:58.624000Z,2022-12-01T00:03:22.343000Z,2022-12-01T00:04:15.502095Z,41,C109FFJY,280,Graduate degree (MA/MSc/MPhil/other),46,Female,White,United States,United States,United States,English,No,Full-Time
6387ef44eddbb41804240c34,5f3898caed1478189b8462a0,AWAITING REVIEW,2022-12-01T00:03:19.329000Z,2022-12-01T00:04:11.096000Z,,2022-12-01T00:05:19.116914Z,52,NOCODE,2550,Graduate degree (MA/MSc/MPhil/other),57,Female,Asian,India,United States,United States,Hindi,No,Full-Time
6387efb6af573a9d769fcd4b,62fc1629677f0a315c0874b3,APPROVED,2022-12-01T00:05:12.420000Z,2022-12-01T00:06:03.047000Z,2022-12-01T00:06:03.564000,2022-12-01T00:06:03.492361Z,51,C109FFJY,281,Graduate degree (MA/MSc/MPhil/other),44,Female,White,United States,United States,United States,English,No,Full-Time
6387efecc3d06c409b240c15,62c788d0cd6dc75c2c3a8fc7,AWAITING REVIEW,2022-12-01T00:06:08.249000Z,2022-12-01T00:07:15.057000Z,,2022-12-01T00:07:15.480253Z,67,NOCODE,658,Graduate degree (MA/MSc/MPhil/other),74,Male,White,Poland,United States,United States,Polish,No,DATA_EXPIRED
6387f2803ff2de35629fcd3f,5bdf49f0af2dc600013e318c,AWAITING REVIEW,2022-12-01T00:17:08.371000Z,2022-12-01T00:17:51.933000Z,,2022-12-01T00:17:52.286784Z,44,NOCODE,1443,Graduate degree (MA/MSc/MPhil/other),37,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6387f32b0c74a609f40da6d3,555247e6fdf99b0c18cd1d0c,APPROVED,2022-12-01T00:19:57.616000Z,2022-12-01T00:20:32.497000Z,2022-12-01T00:20:38.250000,2022-12-01T00:20:32.859091Z,35,C109FFJY,955,Graduate degree (MA/MSc/MPhil/other),37,Male,White,United States,United States,United States,English,No,Part-Time
